Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
58,tt0112573,2018-11-10,2018-11-10,,"Braveheart","Braveheart",https://www.imdb.com/title/tt0112573/,Movie,8.3,178,1995,"Biography, Drama, War",1141456,1995-05-24,"Mel Gibson",,
59,tt0317248,2018-11-10,2018-11-10,,"City of God","Cidade de Deus",https://www.imdb.com/title/tt0317248/,Movie,8.6,130,2002,"Crime, Drama",849914,2004-02-13,"Fernando Meirelles, Kátia Lund",,
60,tt0180093,2018-11-10,2018-11-10,,"Requiem for a Dream","Requiem for a Dream",https://www.imdb.com/title/tt0180093/,Movie,8.3,102,2000,"Drama",952106,2000-12-15,"Darren Aronofsky",,
61,tt1291584,2018-11-10,2018-11-10,,"Warrior","Warrior",https://www.imdb.com/title/tt1291584/,Movie,8.1,140,2011,"Action, Drama, Sport",520276,2011-09-09,"Gavin O'Connor",,
62,tt0469494,2018-11-10,2018-11-10,,"There Will Be Blood","There Will Be Blood",https://www.imdb.com/title/tt0469494/,Movie,8.2,158,2007,"Drama",683913,2008-01-25,"Paul Thomas Anderson",,
63,tt1205489,2018-11-10,2018-11-10,,"Gran Torino","Gran Torino",https://www.imdb.com/title/tt1205489/,Movie,8.1,116,2008,"Drama",848158,2009-01-09,"Clint Eastwood",,
64,tt1028532,2018-11-10,2018-11-10,,"Hachi: A Dog's Tale","Hachi: A Dog's Tale",https://www.imdb.com/title/tt1028532/,Movie,8.1,93,2009,"Biography, Drama, Family",333787,2010-03-12,"Lasse Hallström",,
65,tt0245712,2018-11-10,2018-11-10,,"Amores Perros","Amores perros",https://www.imdb.com/title/tt0245712/,Movie,8.0,154,2000,"Drama, Thriller",269547,2001-04-13,"Alejandro G. Iñárritu",,
66,tt2066051,2019-02-23,2019-02-23,,"Rocketman","Rocketman",https://www.imdb.com/title/tt2066051/,Movie,7.3,121,2019,"Biography, Drama, Music, Musical",205556,2019-05-31,"Dexter Fletcher",,
67,tt1860242,2019-02-24,2019-02-24,,"The Highwaymen","The Highwaymen",https://www.imdb.com/title/tt1860242/,Movie,6.9,132,2019,"Biography, Crime, Drama, Mystery, Thriller, Western",111122,2019-03-29,"John Lee Hancock",,
68,tt6704776,2019-03-09,2019-03-09,,"The Photographer of Mauthausen","El fotógrafo de Mauthausen",https://www.imdb.com/title/tt6704776/,Movie,6.8,110,2018,"Biography, Drama, History, Thriller, War",13575,2018-10-26,"Mar Targarona",,
69,tt4154664,2019-03-13,2019-03-13,,"Captain Marvel","Captain Marvel",https://www.imdb.com/title/tt4154664/,Movie,6.7,123,2019,"Action, Adventure, Sci-Fi",644066,2019-03-08,"Anna Boden, Ryan Fleck",,
70,tt3569230,2019-04-27,2019-04-27,,"Legend","Legend",https://www.imdb.com/title/tt3569230/,Movie,6.9,132,2015,"Biography, Crime, Drama, Thriller",218135,2015-11-20,"Brian Helgeland",,
71,tt0111495,2019-05-02,2019-05-02,,"Three Colors: Red","Trois couleurs : Rouge",https://www.imdb.com/title/tt0111495/,Movie,8.1,99,1994,"Drama, Mystery, Romance",114969,1994-11-23,"Krzysztof Kieslowski",,
